rank,trial,value,dataset.batch_size,model.activation,model.dropout,optim.grad_clip,optim.lr,optim.patience,optim.use_scheduler,optim.weight_decay,duration_s
71,141,0.973282,16,gelu,0.395624,7.1254,0.000109269,65,True,0.000535079,167.2
72,142,0.973282,16,gelu,0.371129,7.42591,6.98175e-05,60,True,0.000332835,182.1
73,156,0.973282,32,gelu,0.340016,7.36095,0.000184968,60,True,0.000681105,103.7
74,160,0.973282,16,gelu,0.324539,8.2678,0.000113832,70,True,0.000411104,168.9
75,161,0.973282,16,gelu,0.352384,6.8837,9.8848e-05,55,True,0.000337076,177.3
76,163,0.973282,16,gelu,0.363376,7.26114,8.19349e-05,55,True,0.000418818,180.7
77,164,0.973282,16,gelu,0.341607,7.46497,0.00017366,55,True,0.000815997,132.9
78,168,0.973282,16,gelu,0.360572,7.00778,0.000143396,60,True,0.000605946,149.4
79,173,0.973282,16,gelu,0.384799,6.84535,0.000188474,55,True,0.00065666,128.6
80,175,0.973282,16,gelu,0.429563,8.85868,8.33435e-05,55,True,0.000337269,168.2
81,176,0.973282,16,relu,0.368502,7.51134,0.000161019,70,True,0.000230034,166.3
82,177,0.973282,16,gelu,0.31944,8.44614,0.000280933,50,True,0.00039066,164.0
83,179,0.973282,16,relu,0.386166,7.10052,0.000116188,55,True,2.01989e-06,170.6
84,181,0.973282,16,gelu,0.368336,7.2674,0.00357274,60,True,0.000112532,177.0
85,183,0.973282,16,gelu,0.337184,7.03051,0.000139592,55,True,0.000689461,132.8
